DATASET,TYPE,MODEL_TYPE,ZETA,FLIP,PROP,ACCURACY,STD
THYROID,FLOW3,SGDClassifier,0,0,0,0.9218784530386739,0.002150836290336127
THYROID,FLOW3,SGDClassifier,0,0,2,0.9211049723756904,0.0020965376752497414
THYROID,FLOW3,SGDClassifier,0,0,4,0.9205524861878454,0.003057312113362375
THYROID,FLOW3,SGDClassifier,0,0,6,0.9196685082872926,0.0032964494784920046
THYROID,FLOW3,SGDClassifier,0,0,8,0.918563535911602,0.00294889412909733
THYROID,FLOW3,SGDClassifier,0,1,0,0.9219889502762431,0.002454266114026912
THYROID,FLOW3,SGDClassifier,0,1,2,0.9199999999999999,0.0027661117282532
THYROID,FLOW3,SGDClassifier,0,1,4,0.9177900552486188,0.004808005560834098
THYROID,FLOW3,SGDClassifier,0,1,6,0.9191160220994476,0.0037849672423322664
THYROID,FLOW3,SGDClassifier,0,1,8,0.9177900552486188,0.002955786762097799
THYROID,FLOW3,SGDClassifier,0,2,0,0.920331491712707,0.0034335237381720634
THYROID,FLOW3,SGDClassifier,0,2,2,0.918342541436464,0.0035116571452089877
THYROID,FLOW3,SGDClassifier,0,2,4,0.9179005524861878,0.006251752770174266
THYROID,FLOW3,SGDClassifier,0,2,6,0.9154696132596685,0.005567667203620979
THYROID,FLOW3,SGDClassifier,0,2,8,0.9133701657458563,0.0037992771884280047
THYROID,FLOW3,SGDClassifier,0,3,0,0.9199999999999999,0.002766111728253207
THYROID,FLOW3,SGDClassifier,0,3,2,0.9195580110497236,0.003244598975402615
THYROID,FLOW3,SGDClassifier,0,3,4,0.914806629834254,0.004246123841459908
THYROID,FLOW3,SGDClassifier,0,3,6,0.9127071823204419,0.006315443167396759
THYROID,FLOW3,SGDClassifier,0,3,8,0.9131491712707183,0.004007799781579502
